ENSGID	GENE	minP	meanP
ENSG00000107331	ABCA2	0.01233	0.7368
ENSG00000107338	SHB	0.01818	0.3339
ENSG00000107341	UBE2R2	0.001416	0.6987
ENSG00000107362	ABHD17B	0.09529	0.8543
ENSG00000107371	EXOSC3	0.0565	0.1149
ENSG00000107372	ZFAND5	0.07952	0.2507
ENSG00000107404	DVL1	0.0002909	0.7094
ENSG00000107438	PDLIM1	0.007641	0.1448
ENSG00000107443	CCNJ	0.01573	0.05968
ENSG00000107447	DNTT	0.005237	0.3319
ENSG00000107485	GATA3	0.003446	0.4372
ENSG00000107518	ATRNL1	0.009203	0.2345
ENSG00000107521	HPS1	0.009467	0.4136
ENSG00000107537	PHYH	0.006037	0.5184
ENSG00000107551	RASSF4	0.003935	0.8141
ENSG00000107554	DNMBP	0.02766	0.9559
ENSG00000107560	RAB11FIP2	0.006525	0.7287
ENSG00000107562	CXCL12	0.002245	0.9476
ENSG00000107566	ERLIN1	0.02605	0.467
ENSG00000107581	EIF3A	0.03465	0.4575
ENSG00000107593	PKD2L1	0.02766	0.4668
ENSG00000107611	CUBN	0.002406	0.6517
ENSG00000107614	TRDMT1	0.01147	0.04555
ENSG00000107618	RBP3	0.03571	0.5105
ENSG00000107623	GDF10	0.02551	0.2499
ENSG00000107625	DDX50	0.009402	0.6368
ENSG00000107643	MAPK8	0.04078	0.7559
ENSG00000107651	SEC23IP	0.03788	0.403
ENSG00000107669	ATE1	0.002862	0.4046
ENSG00000107672	NSMCE4A	0.0001251	0.5768
ENSG00000107679	PLEKHA1	0.0001251	0.4904
ENSG00000107719	PALD1	0.002388	0.2294
ENSG00000107731	UNC5B	0.01373	0.6373
ENSG00000107736	CDH23	0.0002921	0.7598
ENSG00000107738	C10orf54	0.001449	0.5595
ENSG00000107742	SPOCK2	0.004074	0.3359
ENSG00000107745	MICU1	0.003169	0.6796
ENSG00000107758	PPP3CB	0.05765	0.6305
ENSG00000107771	CCSER2	0.008901	0.7421
ENSG00000107779	BMPR1A	0.004716	0.5117
ENSG00000107789	MINPP1	0.01786	0.2453
ENSG00000107796	ACTA2	0.02371	0.0304
ENSG00000107798	LIPA	0.0175	0.1115
ENSG00000107815	C10orf2	0.01267	0.2186
ENSG00000107816	LZTS2	0.0357	0.1037
ENSG00000107819	SFXN3	0.01267	0.4733
ENSG00000107821	KAZALD1	0.0458	0.3081
ENSG00000107829	FBXW4	0.1949	0.8309
ENSG00000107831	FGF8	0.01267	0.462
ENSG00000107833	NPM3	0.03172	0.08781
ENSG00000107854	TNKS2	0.01501	0.3395
ENSG00000107859	PITX3	0.07112	0.1324
ENSG00000107862	GBF1	0.0204	0.8465
ENSG00000107863	ARHGAP21	0.02684	0.02684
ENSG00000107864	CPEB3	0.1474	0.8503
ENSG00000107872	FBXL15	0.04627	0.3971
ENSG00000107874	CUEDC2	0.05162	0.2439
ENSG00000107882	SUFU	0.007809	0.3232
ENSG00000107890	ANKRD26	0.006818	0.8839
ENSG00000107897	ACBD5	0.02302	0.114
ENSG00000107902	LHPP	0.00119	0.3097
ENSG00000107929	LARP4B	0.007133	0.6531
ENSG00000107937	GTPBP4	0.004829	0.469
ENSG00000107938	C10orf137	0.01247	0.1658
ENSG00000107949	BCCIP	0.03465	0.7461
ENSG00000107951	MTPAP	0.001652	0.7872
ENSG00000107954	NEURL	0.0424	0.5992
ENSG00000107957	SH3PXD2A	0.005875	0.7167
ENSG00000107959	PITRM1	0.001429	0.9026
ENSG00000107960	OBFC1	0.02487	0.8248
ENSG00000107968	MAP3K8	0.005367	0.7841
ENSG00000107984	DKK1	0.0344	0.7189
ENSG00000108001	EBF3	0.006496	0.6268
ENSG00000108010	GLRX3	0.004738	0.3551
ENSG00000108018	SORCS1	0.005772	0.8931
ENSG00000108021	FAM208B	0.006281	0.8814
ENSG00000108039	XPNPEP1	0.00339	0.8169
ENSG00000108055	SMC3	0.00694	0.5213
ENSG00000108061	SHOC2	0.006303	0.7035
ENSG00000108064	TFAM	0.008719	0.03756
ENSG00000108091	CCDC6	0.003602	0.2144
ENSG00000108094	CUL2	0.005584	0.4454
ENSG00000108100	CCNY	0.001654	0.4582
ENSG00000108106	UBE2S	0.007067	0.2599
ENSG00000108107	RPL28	0.0008583	0.6443
ENSG00000108175	ZMIZ1	0.007095	0.6129
ENSG00000108176	DNAJC12	0.02414	0.7383
ENSG00000108179	PPIF	0.007095	0.8976
ENSG00000108187	PBLD	0.002274	0.05384
ENSG00000108219	TSPAN14	0.01826	0.5683
ENSG00000108231	LGI1	0.007487	0.9375
ENSG00000108239	TBC1D12	0.01095	0.6386
ENSG00000108242	CYP2C18	0.003558	0.1904
ENSG00000108244	KRT23	0.01793	0.1196
ENSG00000108255	CRYBA1	0.002967	0.7649
ENSG00000108256	NUFIP2	0.002967	0.8628
ENSG00000108262	GIT1	0.001738	0.3096
ENSG00000108264	TADA2A	0.00575	0.3891
ENSG00000108270	AATF	0.002905	0.8901
ENSG00000108272	DHRS11	0.004745	0.1109
ENSG00000108278	ZNHIT3	0.0001324	0.5832
ENSG00000108292	MLLT6	0.006075	0.5953
ENSG00000108294	PSMB3	0.002107	0.5034
ENSG00000108296	CWC25	0.002107	0.1586
ENSG00000108298	RPL19	0.02296	0.3728
ENSG00000108306	FBXL20	0.04165	0.7288
ENSG00000108309	RUNDC3A	0.003923	0.6057
ENSG00000108342	CSF3	0.0763	0.7071
ENSG00000108344	PSMD3	0.01242	0.3375
ENSG00000108349	CASC3	0.0248	0.0656
ENSG00000108352	RAPGEFL1	0.01004	0.5867
ENSG00000108370	RGS9	0.003117	0.5387
ENSG00000108375	RNF43	0.02833	0.4099
ENSG00000108379	WNT3	0.0009135	0.1627
ENSG00000108381	ASPA	0.006276	0.2418
ENSG00000108384	RAD51C	0.02833	0.1006
ENSG00000108387	SEPT4	0.02034	0.3579
ENSG00000108389	MTMR4	0.02034	0.9026
ENSG00000108395	TRIM37	0.02833	0.3086
ENSG00000108405	P2RX1	0.009485	0.7127
ENSG00000108406	DHX40	0.04632	0.1426
ENSG00000108417	KRT37	0.4106	0.4106
ENSG00000108423	TUBD1	0.02522	0.3897
ENSG00000108424	KPNB1	0.009187	0.02066
ENSG00000108433	GOSR2	0.0009135	0.4495
ENSG00000108439	PNPO	0.0009135	0.7538
ENSG00000108443	RPS6KB1	0.1138	0.6852
ENSG00000108448	TRIM16L	0.00313	0.8736
ENSG00000108465	CDK5RAP3	0.00191	0.2979
ENSG00000108468	CBX1	0.004747	0.2752
ENSG00000108469	RECQL5	0.005364	0.9056
ENSG00000108474	PIGL	0.01923	0.9277
ENSG00000108479	GALK1	0.004025	0.5453
ENSG00000108506	INTS2	0.01222	0.6509
ENSG00000108509	CAMTA2	0.002104	0.8434
ENSG00000108510	MED13	0.002991	0.6353
ENSG00000108511	HOXB6	0.0124	0.3082
ENSG00000108515	ENO3	0.03441	0.4861
ENSG00000108518	PFN1	0.03649	0.2281
ENSG00000108523	RNF167	0.002104	0.733
ENSG00000108528	SLC25A11	0.03384	0.3317
ENSG00000108551	RASD1	0.00603	0.4909
ENSG00000108556	CHRNE	0.0127	0.4005
ENSG00000108557	RAI1	0.005343	0.7906
ENSG00000108559	NUP88	0.002104	0.2954
ENSG00000108561	C1QBP	0.002104	0.3865
ENSG00000108576	SLC6A4	0.002967	0.2585
ENSG00000108578	BLMH	0.002414	0.08003
ENSG00000108582	CPD	0.0007443	0.8721
ENSG00000108587	GOSR1	0.0007443	0.04032
ENSG00000108588	CCDC47	0.006556	0.3606
ENSG00000108590	MED31	0.01213	0.3605
ENSG00000108591	DRG2	0.004513	0.4817
ENSG00000108592	FTSJ3	0.004496	0.9916
ENSG00000108599	AKAP10	0.01246	0.9509
ENSG00000108602	ALDH3A1	0.00313	0.6038
ENSG00000108604	SMARCD2	0.006548	0.4457
ENSG00000108622	ICAM2	0.02268	0.2504
ENSG00000108639	SYNGR2	0.01113	0.9169
ENSG00000108641	B9D1	0.0302	0.4464
ENSG00000108651	UTP6	0.003441	0.8037
ENSG00000108654	DDX5	0.007314	0.6913
ENSG00000108666	C17orf75	0.0006904	0.549
ENSG00000108669	CYTH1	0.002402	0.1706
ENSG00000108671	PSMD11	0.0006904	0.9758
ENSG00000108679	LGALS3BP	0.01395	0.3469
ENSG00000108684	ASIC2	0.01015	0.7356
ENSG00000108688	CCL7	0.02559	0.0921
ENSG00000108691	CCL2	0.003052	0.5979
ENSG00000108700	CCL8	0.134	0.3353
ENSG00000108702	CCL1	0.1387	0.2758
ENSG00000108733	PEX12	0.006144	0.06626
ENSG00000108759	KRT32	0.02532	0.8935
ENSG00000108771	DHX58	0.01506	0.9735
ENSG00000108773	KAT2A	0.01581	0.7995
ENSG00000108774	RAB5C	0.007664	0.4872
ENSG00000108784	NAGLU	0.008652	0.5248
ENSG00000108785	HSD17B1P1	0.01506	0.462
ENSG00000108786	HSD17B1	0.007664	0.1189
ENSG00000108788	MLX	0.2031	0.7501
ENSG00000108797	CNTNAP1	0.01348	0.2153
ENSG00000108798	ABI3	0.02212	0.02212
ENSG00000108799	EZH1	0.01214	0.521
ENSG00000108813	DLX4	0.0006206	0.6556
ENSG00000108819	PPP1R9B	0.09215	0.5949
ENSG00000108821	COL1A1	0.04398	0.5856
ENSG00000108823	SGCA	0.01186	0.01226
ENSG00000108826	MRPL27	0.01879	0.2203
ENSG00000108828	VAT1	0.003923	0.9395
ENSG00000108829	LRRC59	0.07317	0.5214
ENSG00000108830	RND2	0.002811	0.13
ENSG00000108839	ALOX12	0.0013	0.01565
ENSG00000108840	HDAC5	0.009069	0.1193
ENSG00000108846	ABCC3	0.007725	0.1406
ENSG00000108848	LUC7L3	0.01879	0.7804
ENSG00000108849	PPY	0.003903	0.9859
ENSG00000108852	MPP2	0.002811	0.8873
ENSG00000108854	SMURF2	0.06469	0.2791
ENSG00000108861	DUSP3	0.003923	0.105
ENSG00000108878	CACNG1	0.007221	0.7196
ENSG00000108883	EFTUD2	0.002811	0.0166
ENSG00000108924	HLF	0.01888	0.4614
ENSG00000108932	SLC16A6	0.01225	0.9694
ENSG00000108946	PRKAR1A	0.001846	0.4838
ENSG00000108947	EFNB3	0.0009057	0.249
ENSG00000108950	FAM20A	0.001846	0.9156
ENSG00000108953	YWHAE	0.007275	0.204
ENSG00000108958	AC016292.3	0.04491	0.7049
ENSG00000108960	MMD	0.01679	0.5403
ENSG00000108961	RANGRF	0.01132	0.1844
ENSG00000108963	DPH1	0.0007539	0.5071
ENSG00000108984	MAP2K6	4.467e-05	0.397
ENSG00000109016	DHRS7B	0.009386	0.2415
ENSG00000109046	WSB1	0.03734	0.5514
ENSG00000109047	RCVRN	0.000961	0.4295
ENSG00000109061	MYH1	0.02396	0.191
ENSG00000109062	SLC9A3R1	0.0002252	0.6023
ENSG00000109063	MYH3	0.001585	0.1787
ENSG00000109065	NAT9	0.02806	0.9951
ENSG00000109066	TMEM104	0.002703	0.8039
ENSG00000109072	VTN	0.04231	0.8455
ENSG00000109079	TNFAIP1	0.0625	0.7085
ENSG00000109084	TMEM97	2.506e-05	0.7323
ENSG00000109089	CDR2L	0.002313	0.9381
ENSG00000109099	PMP22	0.0174	0.6861
ENSG00000109101	FOXN1	0.00998	0.1953
ENSG00000109103	UNC119	0.1178	0.9257
ENSG00000109107	ALDOC	0.0793	0.5527
ENSG00000109111	SUPT6H	0.004712	0.09648
ENSG00000109113	RAB34	2.506e-05	0.8282
ENSG00000109118	PHF12	0.03568	0.6081
ENSG00000109133	TMEM33	0.2912	0.8527
ENSG00000109158	GABRA4	0.007765	0.346
ENSG00000109163	GNRHR	0.0005693	0.6824
ENSG00000109171	SLAIN2	0.009197	0.4024
ENSG00000109180	OCIAD1	0.02219	0.7123
ENSG00000109182	CWH43	0.01347	0.8809
ENSG00000109184	DCUN1D4	0.002973	0.8419
ENSG00000109189	USP46	0.01317	0.8062
ENSG00000109193	SULT1E1	0.00359	0.03455
ENSG00000109205	ODAM	0.0301	0.833
ENSG00000109208	SMR3A	0.03617	0.1481
ENSG00000109220	CHIC2	0.01309	0.2627
ENSG00000109255	NMU	0.002899	0.8372
ENSG00000109265	KIAA1211	0.0007553	0.3299
ENSG00000109270	LAMTOR3	0.02848	0.3988
ENSG00000109272	PF4V1	0.0124	0.2886
ENSG00000109320	NFKB1	0.1461	0.6316
ENSG00000109321	AREG	0.009842	0.2417
ENSG00000109323	MANBA	0.006219	0.7786
ENSG00000109332	UBE2D3	0.006508	0.2135
ENSG00000109339	MAPK10	0.04493	0.5737
ENSG00000109381	ELF2	0.006911	0.1079
ENSG00000109390	NDUFC1	0.001051	0.8016
ENSG00000109424	UCP1	0.02262	0.2253
ENSG00000109436	TBC1D9	0.001051	0.5713
ENSG00000109445	ZNF330	0.006661	0.4774
ENSG00000109452	INPP4B	0.02969	0.5765
ENSG00000109458	GAB1	0.002827	0.4879
ENSG00000109466	KLHL2	0.02639	0.358
ENSG00000109472	CPE	0.02048	0.6321
ENSG00000109475	RPL34	0.0218	0.3368
ENSG00000109501	WFS1	0.0004621	0.4416
ENSG00000109511	ANXA10	0.00452	0.3334
ENSG00000109519	GRPEL1	0.0004093	0.8042
ENSG00000109534	GAR1	0.0003783	0.2459
ENSG00000109536	FRG1	0.0001316	0.4533
ENSG00000109572	CLCN3	0.004297	0.07189
ENSG00000109576	AADAT	0.004297	0.1626
ENSG00000109586	GALNT7	0.02618	0.2403
ENSG00000109606	DHX15	0.01962	0.6974
ENSG00000109610	SOD3	0.0245	0.8951
ENSG00000109618	SEPSECS	0.0031	0.6234
ENSG00000109625	CPZ	0.008571	0.7691
ENSG00000109654	TRIM2	0.01204	0.7969
ENSG00000109667	SLC2A9	0.009827	0.8856
ENSG00000109670	FBXW7	0.02069	0.02069
ENSG00000109680	TBC1D19	0.01834	0.2132
ENSG00000109684	CLNK	0.008581	0.8043
ENSG00000109685	WHSC1	0.03942	0.7813
ENSG00000109686	SH3D19	0.002321	0.7909
ENSG00000109689	STIM2	0.005888	0.8942
ENSG00000109705	NKX3-2	0.02838	0.9568
ENSG00000109736	MFSD10	0.01177	0.7254
ENSG00000109738	GLRB	0.003598	0.6581
ENSG00000109743	BST1	0.002779	0.3332
ENSG00000109756	RAPGEF2	0.004928	0.6344
ENSG00000109758	HGFAC	0.001791	0.8312
ENSG00000109762	SNX25	0.04305	0.1329
ENSG00000109771	LRP2BP	0.000234	0.42
ENSG00000109775	UFSP2	0.0002499	0.9945
ENSG00000109787	KLF3	0.09384	0.3317
ENSG00000109790	KLHL5	0.02201	0.5331
ENSG00000109794	FAM149A	1.041e-05	0.8553
ENSG00000109805	NCAPG	0.01092	0.1123
ENSG00000109814	UGDH	0.02001	0.5149
ENSG00000109819	PPARGC1A	0.06365	0.926
ENSG00000109832	DDX25	0.008914	0.05262
ENSG00000109846	CRYAB	0.007608	0.2503
ENSG00000109854	HTATIP2	4.71e-05	0.0827
ENSG00000109861	CTSC	0.0001392	0.6753
ENSG00000109881	CCDC34	0.001314	0.8622
ENSG00000109906	ZBTB16	0.03721	0.7984
ENSG00000109911	ELP4	0.04278	0.801
ENSG00000109917	ZNF259	0.002116	0.3093
ENSG00000109919	MTCH2	0.04742	0.9197
ENSG00000109920	FNBP4	0.07896	0.483
ENSG00000109927	TECTA	0.01131	0.316
ENSG00000109929	SC5D	0.007334	0.1424
ENSG00000109943	CRTAM	0.001966	0.4849
ENSG00000109944	C11orf63	0.0061	0.3758
ENSG00000109956	B3GAT1	0.004656	0.369
ENSG00000109971	HSPA8	0.005044	0.6657
ENSG00000109991	P2RX3	0.009689	0.3914
ENSG00000110002	VWA5A	0.006744	0.2161
ENSG00000110011	DNAJC4	0.01633	0.9785
ENSG00000110025	SNX15	0.00596	0.6995
ENSG00000110031	LPXN	0.01786	0.01955
ENSG00000110042	DTX4	6.757e-05	0.4206
ENSG00000110046	ATG2A	0.05633	0.3153
ENSG00000110047	EHD1	0.01065	0.2073
ENSG00000110057	UNC93B1	0.007162	0.1751
ENSG00000110060	PUS3	0.008914	0.4676
ENSG00000110063	DCPS	0.00201	0.6985
ENSG00000110066	SUV420H1	0.006553	0.96
ENSG00000110074	FOXRED1	0.001485	0.7011
ENSG00000110075	PPP6R3	0.05628	0.6098
ENSG00000110076	NRXN2	0.00596	0.029
ENSG00000110077	MS4A6A	0.05118	0.1249
ENSG00000110079	MS4A4A	0.01215	0.5416
ENSG00000110080	ST3GAL4	0.001485	0.1986
ENSG00000110090	CPT1A	0.008205	0.8917
ENSG00000110092	CCND1	0.001956	0.2615
ENSG00000110104	CCDC86	0.01035	0.1751
ENSG00000110107	PRPF19	0.009572	0.3648
ENSG00000110108	TMEM109	0.008902	0.7945
ENSG00000110148	CCKBR	0.002766	0.4817
ENSG00000110169	HPX	0.002576	0.9048
ENSG00000110171	TRIM3	0.01221	0.5734
ENSG00000110172	CHORDC1	0.008688	0.04485
ENSG00000110195	FOLR1	0.4108	0.7203
ENSG00000110200	ANAPC15	0.0228	0.09159
ENSG00000110203	FOLR3	0.02215	0.6938
ENSG00000110218	PANX1	0.0005191	0.9695
ENSG00000110237	ARHGEF17	0.03041	0.03041
ENSG00000110243	APOA5	0.07526	0.5279
ENSG00000110245	APOC3	0.009609	0.547
ENSG00000110274	CEP164	0.008572	0.07992
ENSG00000110315	RNF141	0.001562	0.655
ENSG00000110318	KIAA1377	0.003957	0.3999
ENSG00000110321	EIF4G2	0.002252	0.1649
ENSG00000110324	IL10RA	0.0243	0.3641
ENSG00000110328	GALNT18	0.0009103	0.6505
ENSG00000110330	BIRC2	0.006442	0.6284
ENSG00000110344	UBE4A	0.04316	0.3145
ENSG00000110367	DDX6	0.1026	0.1026
ENSG00000110375	UPK2	0.0555	0.9897
ENSG00000110395	CBL	0.00204	0.2312
ENSG00000110400	PVRL1	0.007841	0.203
ENSG00000110422	HIPK3	0.009702	0.6529
ENSG00000110427	KIAA1549L	0.0004093	0.2799
ENSG00000110429	FBXO3	4.988e-06	0.2727
ENSG00000110435	PDHX	9.954e-09	0.003145
ENSG00000110436	SLC1A2	3.133e-08	0.4809
ENSG00000110442	COMMD9	0.0008144	0.7997
ENSG00000110446	SLC15A3	0.004252	0.5065
ENSG00000110448	CD5	0.0008413	0.7928
ENSG00000110455	ACCS	0.0005063	0.8969
ENSG00000110484	SCGB2A2	0.0005619	0.2051
ENSG00000110492	MDK	0.057	0.3064
ENSG00000110497	AMBRA1	0.01613	0.1737
ENSG00000110514	MADD	0.02105	0.3434
ENSG00000110536	PTPMT1	0.01905	0.3809
ENSG00000110583	NAA40	0.07416	0.9888
ENSG00000110619	CARS	0.01041	0.9738
ENSG00000110628	SLC22A18	0.001282	0.02094
ENSG00000110651	CD81	0.01079	0.4645
ENSG00000110660	SLC35F2	0.02689	0.3852
ENSG00000110665	C11orf21	0.001282	0.5241
ENSG00000110675	ELMOD1	0.02163	0.4131
ENSG00000110680	CALCA	0.002663	0.9833
ENSG00000110693	SOX6	0.005965	0.9129
ENSG00000110696	C11orf58	0.025	0.1733
ENSG00000110697	PITPNM1	0.142	0.1678
ENSG00000110700	RPS13	0.02231	0.5503
ENSG00000110711	AIP	0.01623	0.1023
ENSG00000110713	NUP98	0.06177	0.4012
ENSG00000110717	NDUFS8	0.003086	0.7003
ENSG00000110719	TCIRG1	0.03816	0.05712
ENSG00000110721	CHKA	0.01052	0.05712
ENSG00000110723	EXPH5	0.0008158	0.5375
ENSG00000110756	HPS5	0.005965	0.4221
ENSG00000110768	GTF2H1	0.004571	0.9877
ENSG00000110777	POU2AF1	0.0178	0.4467
ENSG00000110786	PTPN5	0.00978	0.2454
ENSG00000110799	VWF	0.01655	0.233
ENSG00000110801	PSMD9	0.00194	0.5307
ENSG00000110841	PPFIBP1	0.009684	0.6799
ENSG00000110844	PRPF40B	0.006664	0.6722
ENSG00000110848	CD69	0.0005175	0.04792
ENSG00000110851	PRDM4	0.02438	0.5489
ENSG00000110852	CLEC2B	0.0136	0.2623
ENSG00000110871	COQ5	0.0001237	0.8024
ENSG00000110876	SELPLG	0.02355	0.9372
ENSG00000110880	CORO1C	0.001372	0.4814
ENSG00000110881	ASIC1	0.001553	0.9979
ENSG00000110887	DAO	0.01059	0.6072
ENSG00000110888	CAPRIN2	0.0002845	0.1188
ENSG00000110900	TSPAN11	0.006099	0.6012
ENSG00000110906	KCTD10	0.006156	0.2895
ENSG00000110911	SLC11A2	0.001742	0.1088
ENSG00000110917	MLEC	0.0009399	0.3811
ENSG00000110921	MVK	0.0007042	0.7403
ENSG00000110925	CSRNP2	9.605e-06	0.8669
ENSG00000110931	CAMKK2	0.003726	0.4992
ENSG00000110934	BIN2	9.605e-06	0.6056
ENSG00000110944	IL23A	0.01262	0.3766
ENSG00000110955	ATP5B	0.02716	0.8699
ENSG00000110975	SYT10	0.04103	0.9852
ENSG00000110987	BCL7A	0.009398	0.4491
ENSG00000111011	RSRC2	0.07298	0.7376
ENSG00000111012	CYP27B1	0.004596	0.9665
ENSG00000111046	MYF6	0.2436	0.2436
ENSG00000111052	LIN7A	0.001372	0.03984
ENSG00000111057	KRT18	0.02907	0.5751
ENSG00000111058	ACSS3	0.001638	0.4608
ENSG00000111077	TENC1	9.605e-06	0.9239
ENSG00000111087	GLI1	0.01675	0.253
ENSG00000111110	PPM1H	0.003363	0.9682
ENSG00000111142	METAP2	0.0003019	0.4362
ENSG00000111144	LTA4H	0.0003592	0.8625
ENSG00000111145	ELK3	0.007891	0.4
ENSG00000111181	SLC6A12	0.006207	0.9496
ENSG00000111186	WNT5B	0.005184	0.38
ENSG00000111196	MAGOHB	0.008082	0.6406
ENSG00000111199	TRPV4	3.743e-05	0.361
ENSG00000111203	ITFG2	0.008446	0.3462
ENSG00000111206	FOXM1	0.006432	0.4057
ENSG00000111215	PRR4	0.005236	0.1743
ENSG00000111218	PRMT8	0.006432	0.161
ENSG00000111224	PARP11	0.006732	0.9101
ENSG00000111229	ARPC3	0.001298	0.4844
ENSG00000111231	GPN3	0.00137	0.7316
ENSG00000111237	VPS29	0.0006767	0.7922
ENSG00000111245	MYL2	0.06628	0.2726
ENSG00000111247	RAD51AP1	0.04104	0.8227
ENSG00000111249	CUX2	0.0081	0.2748
ENSG00000111252	SH2B3	0.003022	0.2485
ENSG00000111254	AKAP3	0.0009137	0.2677
ENSG00000111261	MANSC1	0.03115	0.1968
ENSG00000111262	KCNA1	0.02979	0.2439
ENSG00000111266	DUSP16	0.004619	0.01679
ENSG00000111269	CREBL2	0.007889	0.8582
ENSG00000111271	ACAD10	0.02908	0.2036
ENSG00000111275	ALDH2	0.003022	0.9453
ENSG00000111276	CDKN1B	0.1929	0.7501
ENSG00000111291	GPRC5D	0.02103	0.1189
ENSG00000111300	NAA25	0.01418	0.4417
ENSG00000111305	GSG1	0.001221	0.9626
ENSG00000111319	SCNN1A	0.02626	0.8559
ENSG00000111321	LTBR	0.009348	0.0652
ENSG00000111325	OGFOD2	0.02092	0.1795
ENSG00000111328	CDK2AP1	0.003958	0.7039
ENSG00000111331	OAS3	0.0007712	0.7314
ENSG00000111335	OAS2	0.006204	0.176
ENSG00000111339	ART4	0.003832	0.7512
ENSG00000111341	MGP	0.01099	0.4692
ENSG00000111344	RASAL1	0.003252	0.4604
ENSG00000111348	ARHGDIB	0.008687	0.6906
ENSG00000111358	GTF2H3	0.004562	0.6568
ENSG00000111361	EIF2B1	0.004748	0.9914
ENSG00000111364	DDX55	0.001362	0.8629
ENSG00000111371	SLC38A1	0.006369	0.7574
ENSG00000111404	RERGL	0.0198	0.2995
ENSG00000111405	ENDOU	0.02091	0.02091
ENSG00000111424	VDR	0.009133	0.1076
ENSG00000111432	FZD10	0.004876	0.487
ENSG00000111445	RFC5	0.002235	0.8669
ENSG00000111450	STX2	0.0005127	0.3879
ENSG00000111452	GPR133	0.0006266	0.5833
ENSG00000111481	COPZ1	0.03118	0.3434
ENSG00000111490	TBC1D30	0.04856	0.2134
ENSG00000111530	CAND1	0.001595	0.334
ENSG00000111536	IL26	0.001867	0.1696
ENSG00000111540	RAB5B	0.1068	0.7428
ENSG00000111554	MDM1	0.002123	0.6573
ENSG00000111581	NUP107	0.00107	0.94
ENSG00000111596	CNOT2	0.000862	0.5601
ENSG00000111605	CPSF6	0.000862	0.03866
ENSG00000111615	KRR1	0.005642	0.7266
ENSG00000111639	MRPL51	0.01655	0.1552
ENSG00000111640	GAPDH	0.1806	0.5228
ENSG00000111641	NOP2	0.01435	0.8738
ENSG00000111642	CHD4	0.09697	0.8975
ENSG00000111644	ACRBP	0.1622	0.7009
ENSG00000111647	UHRF1BP1L	0.006996	0.1801
ENSG00000111652	COPS7A	0.009348	0.3559
ENSG00000111653	ING4	0.01435	0.5861
ENSG00000111664	GNB3	0.003746	0.6885
ENSG00000111665	CDCA3	0.009348	0.2324
ENSG00000111666	CHPT1	0.002929	0.03822
ENSG00000111667	USP5	0.06384	0.4413
ENSG00000111669	TPI1	0.01435	0.3461
ENSG00000111670	GNPTAB	0.004505	0.7712
ENSG00000111671	SPSB2	0.002271	0.2623
ENSG00000111674	ENO2	0.01626	0.387
ENSG00000111676	ATN1	0.002271	0.02626
ENSG00000111678	C12orf57	0.001194	0.1863
ENSG00000111679	PTPN6	0.001194	0.7512
ENSG00000111684	LPCAT3	0.02642	0.02642
ENSG00000111696	NT5DC3	0.01833	0.218
ENSG00000111700	SLCO1B3	0.003889	0.4521
ENSG00000111704	NANOG	0.02363	0.3191
ENSG00000111707	SUDS3	0.003231	0.263
ENSG00000111711	GOLT1B	0.0006739	0.6762
ENSG00000111713	GYS2	0.0006057	0.3817
ENSG00000111716	LDHB	0.002311	0.3639
ENSG00000111725	PRKAB1	0.001799	0.3527
ENSG00000111726	CMAS	0.005488	0.6958
ENSG00000111727	HCFC2	0.05227	0.7819
ENSG00000111728	ST8SIA1	0.0009258	0.1104
ENSG00000111729	CLEC4A	0.04302	0.7384
ENSG00000111731	C2CD5	0.002311	0.7774
ENSG00000111737	RAB35	0.01024	0.1822
ENSG00000111752	PHC1	0.005497	0.8817
ENSG00000111775	COX6A1	0.002008	0.8997
ENSG00000111786	SRSF9	0.009164	0.4954
ENSG00000111788	RP11-22B23.1	0.0005175	0.2613
ENSG00000111790	FGFR1OP2	0.0172	0.7097
ENSG00000111796	KLRB1	0.005055	0.07139
ENSG00000111799	COL12A1	0.03344	0.1493
ENSG00000111801	BTN3A3	0.003236	0.4444
ENSG00000111802	TDP2	0.0004994	0.2217
ENSG00000111816	FRK	2.254e-05	0.001474
ENSG00000111817	DSE	2.254e-05	0.7814
ENSG00000111832	RWDD1	0.0003284	0.5499
ENSG00000111834	RSPH4A	0.0003425	0.001537
ENSG00000111837	MAK	0.004943	0.9167
ENSG00000111843	TMEM14C	0.04536	0.2206
ENSG00000111845	PAK1IP1	0.003345	0.4194
ENSG00000111846	GCNT2	0.0003987	0.6159
ENSG00000111850	SMIM8	0.01206	0.2705
ENSG00000111859	NEDD9	0.02144	0.5207
ENSG00000111860	CEP85L	0.0005619	0.1672
ENSG00000111863	ADTRP	0.007883	0.2292
ENSG00000111875	ASF1A	0.004362	0.7724
ENSG00000111877	MCM9	0.001118	0.06699
ENSG00000111879	FAM184A	0.00165	0.2088
ENSG00000111880	RNGTT	0.005798	0.2375
ENSG00000111885	MAN1A1	0.0005619	0.996
ENSG00000111886	GABRR2	0.005798	0.3321
ENSG00000111897	SERINC1	0.003204	0.55
ENSG00000111906	HDDC2	0.003342	0.8083
ENSG00000111907	TPD52L1	0.003342	0.5935
ENSG00000111911	HINT3	0.02454	0.2664
ENSG00000111912	NCOA7	0.02454	0.5241
ENSG00000111913	FAM65B	0.00613	0.3649
ENSG00000111961	SASH1	0.001836	0.7309
ENSG00000111962	UST	0.0009148	0.8882
ENSG00000111981	ULBP1	0.0008286	0.2931
